"N";"DATA DA EXPEDIÇÃO";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO"
"";"";"";"";""
"2.918 (bis) 3.055 (bis)";"27 de set. de 1932 . 29 de março de 1902";"José Vicente Marella. José Pinto Rodrigues";"Capital Federal";"Melhoramentos introduzidos na invenção, já Marella "". acetylene, denominado ""Gazometro Universal privilegiada, de um apparelho gerador de gaz"
"3.281 (bis)";"27 de março de 1902";"de Britto Holzer Fay Béla";"Idem. Estado do Rio de Janeiro.";"Melhoramentos introduzidos na invenção, já privilegiada, de um utensilio para limpeza e hygiene das habitações, denominado "" Sa- neador domestico ""."
"3.319 (bis)";"9 de maio de 1902.";"Raphael Stamato";"Estado de S. Paulo.";"Melhoramentos introduzidos na invenção, já privilegiada, de uma photegraphia por um novo processo sobre a base de celluloide. Melhoramentos introduzidos na invenção, já privilegiada, de um engenho simples e duplo nho Stamato "". para moagem de canna, denominado "" Enge-"
"3 361 (bis) 3.362 (bis)";"15 de julho de 1902. 15 de julho de 1902.";"Companhia Mechanica e Im- portadora de S. Paulo. Pedro Caminada";"Idem.";"Melhoramentos introduzidos na invenção, já privilegiada, de uma machina destinada a beneficiar café Schuhnan "". beneficiar café, denominada "" Machina para"
"";"";"";"Capital Federal";"Melhoramentos introduzidos na invenção, já privilegiada, de um hydro carborinite para servir de combustivel em substituição do carvão de pedra importado."
"3.380 (bis)";"19 de agosto de 1902";"Percy Henry Atkinson";"Estados Unidos da America do Norte.";"Melhoramentos introduzidos na invenção, já privilegiada, de uns aperfeiçoamentos em lampadas de véo incandescente para illumi- naçao a petroleo."
"3.390 (bis)";"3 de set. de 1902.";"Thomaz Martins da Costa";"Capital Federal.";"Melhoramentos introduzidos na invenção, já privilegiada, de um systema novo de camas, denominado "" Camas militares ""."
"3.452 (bis)";"28 de nov. de 1902.";"Philippe Dick e Coronel Luiz Pereira dos Santos.";"Idem.";"Melhoramentos introduzidos na invenção, já privilegiada, de um novo processo para obter da mandioca productos destinados á alimen- tação e a fins industriaes e apparelho para executar o mesmo processo."
"3.466 (bis)";"13 de dez. de 1902";"Arthur Diniz Lagarde";"Idem.";"Melhoramentos introduzidos na invenção, já privilegiada, de impermealidade dos teci- dos."
"3.478 (bis)";"30 de dez. de 1902.";"Frederick Gale.";"Australia";"Melhoramentos introduzidos na invenção, já privilegiada, de uns dispositivos aperfeiçoados para permittir simultaneamente semear, es- trumar e gradar."
"3.579 (bis)";"30 de dez. de 1902.";"Phoenix Investment Company";"Estados Unidos da Ame- rica do Norte.";"Melhoramentos introduzidos na invenção, já privilegiada, de uns aperfeiçoamentos em ap- parelhos de alimentação de combustivel."
"";"";"";"";""
"3.481 3.482";"4 de janeiro de 1902 4""";"Adolpho Nagel. William Nicholls.";"Estado de S. Paulo";"Garrafa aperfeiçoada denominada Garrafa Tropical ou Tropical Bottle."
