"N";"DATA DA EXPEDIÇÃO";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO"
"3.673";"27";"Geraldo Dannemann.";"Estado da Bahia";"Painel translucido aperfeiçoado para annuncios."
"3.674";"27";"Reginald Aubrey Fessenden";"Estados Unidos da America do Norte.";"Systema de transmissão de força e signaes por ondas electro-magneticas."
"3.675";"27";"";"Idem.";"Aperfeiçoamento na transmissão de signaes sem fio."
"3.676";"27";"";"Idem";"Idem em meios de transmittir signaes sem fio."
"3.677";"27";"Thomas Hooley";"Inglaterra";"Idem em machinas para imprimir em pó de ouro, prata ou outro pó."
"3.678";"27";"Conrado Struve";"Capital Federal.";"Processo apefeiçoado para fabricar cravos de ferra- dura."
"3.679";"27";"Abraham F. Welch e George Poole.";"Estados Unidos da America do Norte.";"Novo systema de deseccação de quaesquer ma- terias."
"3.680";"27";"Casemira Ribeiro Luiz";"Capital Federal.";"Insectecida denominado ""Lux""."
"3.681";"3outubro";"Augusto Maximiliano Morgner";"Idem";"Machina continua automatica para a fabricação de sal refinado, da agua do mar, denominada ""Mi- nerva"","
"3.682";"4 de outubro de 1902";"Dr. Francisco de Paula Moreira Mourão.";"Estado de Minas Geraes.";"Applicação nova do manganez, bem como de seus compostos ou derivados á confecção de pastas ceramicas."
"3.683";"4";"João Sergio Machado.";"Idem";"Martellete aperfeiçoado para teares mecanicos."
"3.684";"7";"Otero, Gomes & Comp";"Estado do Rio Grande do Sul.";"Fechos hermeticos."
"3.685";"10";"Harry Pauling";"Austria";"Processo aperfeiçoado para producção do acido nitrico e apparelho para esse fim."
"3.686";"10";"Auguste Gaulin";"França";"Processo aperfeiçoado para fixar a composição do leite e apparelho para esse fim."
"3.687";"11";"Bento Martins de Sá.";"Capital Federal.";"Apparelho para limpar e arear garfos e facas."
"3.688";"14";"Carlos Marcondes de Toledo Lessa.";"Estado de S. Paulo";"Torrador para café, denominado ""Torrador Lessa""."
"3.689";"15";"João Antonio da Silva Peres";"Capital Fedoral.";"Nova applicação do minerio existente no paiz e co- nhecido pelo nome de Kaolin, reduzindo-o a um producto que denomina Cal da China Peres, para o engommado de tecidos, papel pintado e engommado commum, sob o nome de Polvilho "" Brilhante Brazileiro""."
"3.690";"20";"Claudius Tixidre";"França.";"Machina para tornar impermeavel o papel para ci- garros em bobinas."
"3.691";"20";"Cartier Momille.";"Capital Federal.";"Explosivo nacional denominado Brazilita."
"3.692";"20";"Georges Reynaud.";"França.";"Processo de tratamento da trufa, lichens e musgos, para fabricação industrial da dextrina (achroo- dextrina) e do alcool."
"3.693";"20";"Frank James Ludington.";"Estados Unidos da America do Norte.";"Machina aperfeiçoada para fabricar cigarros."
"3.694";"20";"Alexander Elesworth Keith, John Erickson e Charles Julius Erickson";"Idem";"Systema de permuta telephonica automatica."
"3.695";"24";"Bertholdo Kellner.";"Estado de S. Paulo.";"Machina de beneficiar café, denominada "" Ideal""."
"3.696";"24";"Julio Lima & C";"Capital Federal.";"Systema de acabamento aperfeiçoado de chapéo de feltro por meio de frisos em relevo."
"3.697";"24";"Thomaz Marques Cezar de Oliveira.";"Idem";"Tina aperfeiçoada para acondicionamento de sar- dinhas em sal ou salmoura, denominada Tina Paulista."
"3.698";"21";"James Trezervant Fuller";"Estados Unidos da America do Norte.";"Machina aperfeiçoada para descaroçar algodão."
"3.699";"27";"John James Lowndes.";"Capital Federal.";"Apparelho denominado Super-siphon. para a fabri- cação de agua gasoza."
"3.700";"28";"Eduardo Augusto de Mattos.";"Idem";"Mochila Brazileira."
"3.701";"31";"Mielck's Stone and Terra Cotta Co.";"Estados Unidos da America do Norte.";"Pedra artificial aperfeiçoada e processo para fabri- cal-a."
"3.702";"31";"Luiz Felippe Freire de Aguiar.";"Capital Federal.";"Apparelho de descargas dosadas e automaticos, de desinfectantes, para mictorios publicos e parti- culares."
"3.703";"31";"Manoel A. Salgueiro e Angel Co- lombo.";"Republica Argentina";"Capsula metallica para garrafas de cerveja ou outros liquidos, denominada "" Capsula Phenix"""
"3.704";"31";"E. Berta & C.";"Estado do Rio Grande do Sul.";"Catre aperfeiçoado."
"3.705";"31";"Charles Albert Keller e Bernardo Carpuari.";"França.";"Processo de fusão e refinação electrica dos metaes, e outras materias."
"3.706";"31 """;"Idem";"Idem";"Alto forno electrico e processo de fabricação dos metaes, das suas ligas e seus derivados."
"3.707";"6 de novembro de 1902.";"Antonio Matheus Dias Fernandes e Antonio Loureiro.";"Capital Federal.";"Apparelho mecanico denominado "" Surpreza "", para ser adaptado a cartões postaes, quadros, mol- duras, albuns e annuncios-reclames."
"3.708";"7 """;"José Coelho Barboza.";"Idem";"Medicamento denominado Curasthma para cura da asthma e bronchites. "
"3.709";"7";"Idem";"Idem";"Medicamento denominado Parturina ""."
"3.710";"7 "" """;"Idem";"Idem";"Idem, idem "" Liga-osso ""."
"3.711";"7";"Francisco Alves de Lima Filho ";"Idem";"Apparelho denominado Bomba automatica mari- tima e para poços"". "
"3.712";"7";"Alberto Koenow.";"Idem";"Processo para preparar oleos gazozos."
"3.713";"7";"Friederich Wilhelm";"Allemanha";"Idem de sanar os effeitos nocivos causados pela desigualdade da temperatura no interior dos appa- relhos de incubação artificial."
"3.714";"10";"Hugo Gertum & C.";"Estado do Rio Grande do Sul.";"Processo para tratamento de bambús, taquaras, ta- quarussus e suas variedades, destinados á fabri- cação de papel, papelão e semelhantes."
"3.715";"10";"Spinola & C.";"Estado de Minas Geraes.";"Separador, catador para café denomicado "" Lobo Junior ""."
"3.716";"10";"Sociedade por Acções Promethée.";"Russia.";" Aperfeiçoamento em cartuxos explosivos."
"3.717";"11";"Alfredo Leal";"Estado do Rio Grande do Sul.";"Processo de fabricação industrial da tristearina."
"3.718";"13";"Thomaz Placido Teixeira de Farias.";"Capital Federal.";"Apparelho movel rodante, denominado Caminho Polymorpho."
"3.719";"14";"Thaddeus SobieskiConstantino Lowe.";"E. U. da America do Norte.";"Processo para fabricação do carvão de coke e appa- relho para esse fim."
"3.720";"14";"Louis Denayrouze.";"França";"Novo producto industrial, denominado : Denayrou- zine, pela illuminação calefacção e força motriz."
"3.721";"14";"Franz Czerveny";"Austria";"Aperfeiçoamento em machinas para fabricação de phosphoros."
"3.722";"14";"";"Idem";"Systema de lampadas de incandescencia por vapor de alcool ou de liquido hydro-carbureto em geral."
"3.723";"14:";"Chester B. Wecks";"França";"Apparelho aperfeiçoado para imprimir, emittir e registrar bilhetes de tramways e outros."
"3.724";"14";"A. c. Enmigton Shey";"Capital Federal.";"Systemas de apparelhos destinados a apagar fogo, denominado "" Extinctor ""."
"3.725";"14";"José Pinto Rodrigues de Brito";"Idem";"Peça muito simples e pratica a que denominou : Limpador e compressor de esponjas para serem usados ou conjunctamente e como accessoria do n. 3.055. semeador domestico, previlegiado pela patente"
"3.726";"28";"Eduardo Loschi";"Estado de S. Paulo";"Novo systema de applicação da força electrica á navegação fluvial."
"3.727";"28";"William Charly Fleischmanne Gallo Junior.";"Estado da Bahia";"Pilhas electricas portateis, denominadas : Electric Paim Expellis."
"3.728";"";"Manoel Cabral dos Santos";"Estado de s. Paulo";"Applicação á telegraphia, telephonia, etc. de um apparelho dispensandod emprego de pilhas."
"3.729";"28";"Luiz Francisce de Oliveira Gago.";"Capital Federal.";"Espanador aperfeiçoado especialmente destinado á fabrica de tecidos."
"3.730";"28";"James Gresham, Harry Edward Gre- sham e George Kiernan.";"Inglaterra";"Aperfeiçoamento em apparelhos de freio por maio de vacuo para carros de estradas de ferro e carros semelhantes."
"3.731";"28 de novembro de 1902";"Automatic Aerator Patents Limited.";"Inglaterra";"Aperfeiçoamento na aerificação e no engarrafamento de liquidos e apparelhos para esse fim."
"3.732";"28";"William John Knox.";"E. U. da America do Norte.";"Aperfeiçoamento na aerificação e no engarrafamento de liquidos e apparelhos para esse fim."
"3.733";"28";"Charles Francis Filor";"Idem";"Machina de costura de ponto cego."
"3.734";"4 dezembro";"Bento Martins Costa.";"Capital Federal";"Massa para polir calçado preto ou de cor, deno- minada "" Pasta Americana ""."
"3.735";"6";"José Vicente Marella";"Idem";"Sabão marmoreo Godinho."
"3.736";"6";"Luiz Evaristo da Costa Cabral";"Idem";"Machina automatica de recravar fundos e tampas em latas de fórma irregular."
"3.737";"9";"Fabricio de Arruda Wanderley";"Estado de Pernambuco";"Apparelho solar para evaporação de agua do mar."
"3.738";"9";"Carlos Raulino";"Estado do Rio de Janeiro";"Novo processo para fabricação do polvilho composto para fins industriaes."
"3.739";"";"Manuel Lopes de la Camara e Fran- cisco Robledano Egana.";"Hespanha.";"Processo para obter a cellulose do bagaço ou da polpa da canna de assucar e productos similares sob forma de pasta para papel, papelão ou outras pastas similares."
"3.740";"";"Gideon Pott, John Houston Cassels, David Young Cassels, Robert Wil- liamson e Alexander Moody Stuart";"Escossia";"Aperfeiçoamento em machinas centrifugas."
"3.741";"9";"Vereinigte Chemische Werke Aktiem- gesellschaft.";"Allemanha";"Processo de extracção de acidos gordos, dos seus etheres, para fins industriaes."
"3.742";"9 "" """;"The Cotton Seed Company Limited.";"Inglaterra";"Aperfeiçoamentos-em machinas para quebrar e de- sintegrar coroços de algodão."
"3.743";"9";""" """;"Idem";"Idem no tratamento de caroços de algodão."
"3.744";"10";"Thomaz Americo Travassos";"Estado do Rio de Janeiro";"Preparado a que inticulou ""Odetina""."
"3,745";"12";"Dr. José Caetano de Almeida Gomes.";"Capital Federal.";"Novo systema e processo aseptico d'A Famila Mi- neira para acondicionamento aseptico e asseiado em envoltorios de papel, de doces seccos ou em massa de marmelada e de todos os productos ali- mentares, não sujeito á lavagem ou nova coacção."
"3.746";"15";"João Adriano Niel";"Estado de S. Paulo";"Systema de comprimir café em grãos, denominado ""café Paulista Niel S. Paulo""."
"3.747";"15";"Francis Mc. Farland Harvey e Ha- rold Charles Harwey.";"Inglaterra";"Engate automatico aperfeiçoado."
"3.748";"16";"José Coelho Barbosa.";"Capital Federal.";"Apparelho denominado Dynamisador Barboza, para dynamisação em liquidos de quaesquer sub- stancias animaes, mineraes, vegetaes, com movimentos simultaneos do oscillação e trans- lação."
"3.749";"17";"Bruno & Irmãos";"Capital Federal.";"Lampada de gaz acetyleno adaptavel aos combus- tores de illuminação publica e uso domestico, denominada "" Lampada Bruno ""."
"3.750";"18";"Otero Gomes & Comp";"Idem Estado do Rio Grande do Sul";"Novo acondicionamento de banha e outras gor- duras."
"3.751";"20";"Louis Pierre Jean Neel.";"França";"Novo meio para preservação e conservação dos ovulos, suppositorios e capsulas, pilulas e outros procuctos medicamentosos."
"3.752";"20";"Reginald Aubrey Fessenden";"E. U. da America do Norte.";"Systema de transmissão relativa de signaes por ondas electro-magnéticas."
"3.753";"20";"";"Idem";"Aperfeiçoamento em receptores operades por cor- rentes para ondas eleetro-megneticas."
"3.754";"20 de dezembro de 1902";"Guido Pauling.";"Saxonia";"Processo para a producção de bioxydo de azote e acido azotico."
"3.755";"20 """;"Dr. Fernando Xavier da Silveira";"Estado de S. Paulo";"Carros de madeira para agua systema Excelsior>."
"3.756";"20";"Jules Sellier";"Estado do Rio de Janeiro";"Extracto secco de café."
"3.757";"20";"Domingos Gonçalves.";"Capital Federal.";"Novo insecticida denominado "" Insecticida-toxico -ante-parasitico>."
